학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000006007,전주반월초등학교,초등학교,1997-03-03,공립,본교,운영,전북특별자치도 전주시 덕진구 반월동 238-6,전북특별자치도 전주시 덕진구 혁신로 707,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8753551,127.0737414,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005964,전주서천초등학교,초등학교,1995-10-10,공립,본교,운영,전북특별자치도 전주시 완산구 서신동 761-3,전북특별자치도 전주시 완산구 당산로 9,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83217864,127.1082808,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005962,전주완산초등학교,초등학교,1913-04-01,공립,본교,운영,전북특별자치도 전주시 완산구 동완산동 167,전북특별자치도 전주시 완산구 매곡로 22,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81056438,127.1432813,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000025620,전주만성초등학교,초등학교,1959-03-05,공립,본교,운영,전북특별자치도 전주시 덕진구 중동 803,전북특별자치도 전주시 덕진구 중동로 32,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83673137,127.0654162,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006012,전주송원초등학교,초등학교,1997-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동1가 602,전북특별자치도 전주시 덕진구 와룡로 25,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86154103,127.1110038,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006021,전주동북초등학교,초등학교,1971-03-02,공립,본교,운영,전북특별자치도 전주시 덕진구 인후동2가 39-13,전북특별자치도 전주시 덕진구 견훤왕궁로 227,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83899099,127.1444129,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010243,전주해성중학교,중학교,1960-04-11,사립,본교,운영,전북특별자치도 전주시 완산구 삼천동2가 555,전북특별자치도 전주시 완산구 계룡산길 88,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.78676751,127.1008413,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005966,전주한들초등학교,초등학교,2001-09-01,공립,본교,운영,전북특별자치도 전주시 완산구 중화산동2가 752-4,전북특별자치도 전주시 완산구 화산천변8길 10,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82139815,127.1169855,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005980,전주동초등학교,초등학교,1957-05-06,공립,본교,운영,전북특별자치도 전주시 완산구 중노송동 399-1,전북특별자치도 전주시 완산구 물왕멀로 72,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82952144,127.1524688,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006001,전주신동초등학교,초등학교,2000-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 송천동2가 1269,전북특별자치도 전주시 덕진구 솔내로 211,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86895422,127.1266587,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010218,전주용흥중학교,중학교,2006-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 삼천동1가 305-35,전북특별자치도 전주시 완산구 장승배기로 12,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79141082,127.1137801,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000012988,전주기전여자고등학교,고등학교,1900-04-24,사립,본교,운영,전북특별자치도 전주시 완산구 효자동3가 691-2,전북특별자치도 전주시 완산구 유연로 133,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.82623909,127.100655,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010213,전주곤지중학교,중학교,2005-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 동완산동 395,전북특별자치도 전주시 완산구 매곡로 22,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81056438,127.143278,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005997,전주초포초등학교,초등학교,1934-04-16,공립,본교,운영,전북특별자치도 전주시 덕진구 호성동2가 835,전북특별자치도 전주시 덕진구 초포로 171,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.87717541,127.1397004,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010226,전주호성중학교,중학교,1997-03-03,공립,본교,운영,전북특별자치도 전주시 덕진구 호성동1가 204-5,전북특별자치도 전주시 덕진구 배미실마을길 23,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86432944,127.1571788,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006019,전주전일초등학교,초등학교,1997-03-01,공립,본교,운영,전북특별자치도 전주시 덕진구 진북동 382-1,전북특별자치도 전주시 덕진구 태진로 98,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.83036037,127.1375719,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005957,전주교육대학교전주부설초등학교,초등학교,1937-05-01,국립,본교,운영,전북특별자치도 전주시 완산구 서서학동 3-4,전북특별자치도 전주시 완산구 팔달로 74,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.80845873,127.1511138,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010240,전주성심여자중학교,중학교,1946-10-03,사립,본교,운영,전북특별자치도 전주시 완산구 교동 280,전북특별자치도 전주시 완산구 경기전길 130,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.81195132,127.150661,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005986,전주대정초등학교,초등학교,2006-03-01,공립,본교,운영,전북특별자치도 전주시 완산구 평화동2가 459,전북특별자치도 전주시 완산구 맏내로 57,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.78585162,127.1256189,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000010212,전주효정중학교,중학교,1992-03-02,공립,본교,운영,전북특별자치도 전주시 완산구 서완산동1가 227-1,전북특별자치도 전주시 완산구 안행로 127,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.8067646,127.1336242,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005967,전주대성초등학교,초등학교,1950-03-20,공립,본교,운영,전북특별자치도 전주시 완산구 대성동 252-3,전북특별자치도 전주시 완산구 고덕산1길 20,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79759727,127.1777868,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000006003,전주팔복초등학교,초등학교,1958-07-18,공립,본교,운영,전북특별자치도 전주시 덕진구 동산동 374-1,전북특별자치도 전주시 덕진구 팔과정로 181,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.86366762,127.0945846,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005972,전주중인초등학교,초등학교,1948-10-20,공립,본교,운영,전북특별자치도 전주시 완산구 중인동 585-1,전북특별자치도 전주시 완산구 중인1길 80,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.77133085,127.0979383,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000005968,전주평화초등학교,초등학교,1977-07-04,공립,본교,운영,전북특별자치도 전주시 완산구 평화동1가 389-2,전북특별자치도 전주시 완산구 꽃밭정로 65,8321000,전북특별자치도교육청,8332000,전북특별자치도전주교육지원청,2013-11-29,2023-11-15,35.79945862,127.1394668,2024-03-22,C738100,청주대학교 지방교육재정연구원
